Subject,GenExec,ProcSpeed
100307,0.60515,0.55671
100408,-0.5303399999999999,0.32696
100610,1.68222,0.9815299999999999
101006,-1.95482,-1.32435
101309,-0.50559,-0.91166
101915,0.06548999999999999,-1.2356200000000002
102109,0.34523000000000004,-0.87428
102311,-1.48928,-1.26531
102513,0.254,-2.78015
102614,0.70453,1.6455799999999998
102715,1.70792,-0.04815
103111,1.28312,-0.91794
103212,-0.08313999999999999,-1.49224
103414,0.4358,-0.9764
103515,-2.6755299999999997,-1.16289
105014,0.63994,-1.96406
105115,0.81867,-0.49717
105216,1.4576,1.80352
105620,1.7073900000000002,1.46699
105923,0.56904,-0.91674
106016,1.22749,0.35564
107018,-0.16310999999999998,-1.05972
107725,-2.05055,0.36456
108020,1.4709999999999999,0.45098999999999995
108121,-0.09469,0.45646000000000003
108323,-1.3836899999999999,0.65437
108525,-1.20688,-2.4288
109123,1.46512,0.9554299999999999
110007,-0.01937,0.02453
110411,0.71035,1.3193
110613,-0.0023899999999999998,-1.7667599999999999
111211,0.80794,-0.19211
111413,-0.08006,1.27511
112112,0.80302,-0.72948
112516,-1.67396,-0.19191
112920,0.18635,-0.46857
113316,0.07985,-1.54572
113922,0.14374,0.6944899999999999
114318,-0.29439,0.52373
114823,1.15333,0.80176
115017,0.26115,-0.92451
115219,-1.18098,1.0441200000000002
115320,-0.8217899999999999,-0.22385
115724,-2.0003599999999997,1.63681
116524,-2.8255,-0.55469
117021,1.10222,0.35823
117122,0.8023399999999999,0.6439699999999999
118124,-0.6895600000000001,0.09059
118528,-0.43258,0.78959
120212,0.90233,0.2134
120414,-0.64898,-2.27021
121618,-1.81335,0.07332999999999999
122317,0.31287,-1.02355
123723,-1.10786,-0.3339
123824,-2.3071099999999998,-1.46123
123925,0.44714,1.63162
125222,0.7936,-1.4442
125525,-2.27705,-0.42911000000000005
126426,-1.44013,0.30763
126628,-0.02851,-1.37224
127327,1.47926,0.8708799999999999
127630,0.8383700000000001,1.33765
127731,-1.90936,-0.10207000000000001
127832,-0.13976,0.16649
128026,1.0683799999999999,-0.36271
128632,-0.55613,-0.40521
129634,0.5565,-1.63644
130316,-0.023719999999999998,0.48858999999999997
130518,-1.4979200000000001,0.81025
130619,0.38240999999999997,1.27692
130720,0.24675999999999998,-0.5433899999999999
130821,-1.9554900000000002,0.85251
131217,0.14062,1.0152299999999999
131419,-1.07712,-0.53428
131722,0.77925,0.45948
131823,-0.09277,0.7450399999999999
132017,0.89059,0.46563000000000004
133019,0.46798999999999996,-0.47458
133625,1.1292799999999998,-0.73211
133827,-0.60405,-0.64564
134021,-0.27815,-0.68598
134223,1.06144,0.08201
134324,-0.57205,-0.74349
135629,0.27009,-0.29405
135730,0.75184,0.97585
136126,-0.73263,-0.51457
137027,-0.47983000000000003,0.41025
137128,0.50255,-0.09965
137229,1.56243,-0.008020000000000001
137633,-0.04236,-0.81608
138332,0.07697999999999999,0.21303000000000002
139233,-0.9230200000000001,0.8459399999999999
139435,0.061439999999999995,-1.33511
139637,1.15411,0.70912
142828,0.35208,1.01585
143224,0.70814,0.74758
144125,-1.9604,-2.12642
144428,0.46966,-0.30755
144832,1.1376600000000001,0.4967
146432,-1.78929,0.54391
146533,0.59924,-1.1334899999999999
146836,-0.93027,-0.03945
148840,1.0103,1.18075
148941,0.13525,0.0319
149236,1.67651,2.1282799999999997
149741,-0.35736,0.03227
149842,0.23006999999999997,1.09649
150726,1.4914100000000001,1.2479
150928,1.12901,0.23176999999999998
151627,-0.26491,1.0521
151930,1.7670099999999997,1.12715
153126,-0.82715,-0.21711
153631,0.81894,-0.77804
154229,0.77377,-0.8701700000000001
154330,1.01188,1.39458
154532,-0.20599,-0.9270299999999999
154734,0.71225,0.86598
154936,-1.18212,-0.57948
155635,1.2611,0.69306
156233,-2.19608,2.34021
156334,0.3421,0.88236
156637,-0.07053,-1.94733
158035,0.5978899999999999,1.6753200000000001
158540,0.07697999999999999,0.3507
158843,-0.49613,-0.45781000000000005
159441,-1.3549200000000001,-2.20835
159744,-0.42504,1.8893
161630,0.13188,1.11017
162026,0.64158,0.83946
162228,0.44528,-0.61343
162733,0.5836899999999999,-1.7254099999999999
164030,0.68297,0.56799
164131,1.22294,0.3504
164939,-0.41843,-0.41313999999999995
165032,0.50873,1.3518700000000001
165436,0.72134,-0.75753
165840,-0.0677,-1.6978799999999998
167036,-0.51172,-0.25190999999999997
167743,-1.85588,-0.4229
168139,-0.39327,-1.40645
168947,-1.83316,-0.6554
169545,0.17574,1.7014
169949,0.14995999999999998,1.1522
172029,0.07959,-0.25114000000000003
172332,-0.5505399999999999,-0.93317
172433,0.1862,-0.2676
173738,-0.07341,0.77971
173839,-0.9880200000000001,-1.48126
173940,0.8945700000000001,-1.25445
174437,-2.01966,-0.39299999999999996
175035,-2.95175,-1.60951
175237,0.6372,1.2847899999999999
175540,1.0295,0.6222300000000001
175742,0.61817,0.83234
176542,-1.37724,-0.81407
176744,0.14744000000000002,0.9276399999999999
177241,0.08349,0.28076
178647,-0.70598,-1.50875
178748,-1.68265,-1.05494
178849,1.46774,0.8642
178950,1.49494,0.7810199999999999
180129,-1.7347700000000001,-0.9139299999999999
180230,1.53976,-0.05775
180432,1.29785,2.31285
180533,0.9323,0.32785
181131,-2.84594,0.6904899999999999
181232,-0.69643,1.15804
182739,-0.31603000000000003,-1.99938
185038,-0.08852,0.68743
185341,-0.19665,0.26435
186040,1.3895600000000001,1.90062
186141,-1.7845799999999998,-1.0630600000000001
187143,1.37219,-1.92291
187345,0.74237,1.65494
187547,-1.3063200000000001,1.2324700000000002
188145,1.50777,-0.34265
188347,-0.82263,0.30159
188549,-0.17013,-0.41413999999999995
189450,-1.9343299999999999,-1.41161
190031,1.47963,0.82911
191437,-0.7734,-1.56249
192035,-1.21383,-0.6664
192136,-0.93429,0.24523000000000003
192237,-0.035289999999999995,-1.46977
192641,-0.40175,0.8967799999999999
193845,0.22282,0.3629
194645,0.25469,-0.93055
194746,-0.23201,-1.1045
195445,1.4520600000000001,-0.12212
195647,-0.74036,-0.57876
195849,1.04387,-0.47368000000000005
196346,1.16431,0.7768
196750,-0.53618,0.86125
197550,-1.5702,-0.5686100000000001
198249,0.16557,-0.11042
198451,-0.26126,0.41068000000000005
198653,0.00865,1.6789900000000002
199150,-0.45538,-0.69823
199352,0.4739,0.85001
199958,-1.43345,-0.19050999999999998
200513,0.52305,1.07243
201515,0.32368,1.29934
204218,-0.09671,0.50151
204319,1.1814799999999999,0.75163
204420,-0.65666,-0.15925
204521,0.25748000000000004,-0.6414
205119,-0.66085,0.1401
206727,-1.35156,-1.9498099999999998
208327,0.05546,0.8427600000000001
208630,-1.36287,-1.06199
209329,0.29868,0.52347
210112,1.2194399999999999,-0.42385
210415,-0.46603,-0.91979
211114,-1.67593,0.96534
211619,1.7107900000000003,-0.21011999999999997
211922,-0.44388999999999995,0.9999899999999999
212015,1.22438,0.031760000000000004
212217,-1.3017100000000001,-1.49516
212318,-0.47465,0.545
212823,0.6724899999999999,-0.13333
213017,0.83085,0.9041
214221,-2.06135,-1.44121
214423,-0.2925,-0.24818
214524,0.84259,0.52004
220721,0.07174,1.36584
224022,-0.75461,-0.55601
228434,0.69175,-0.93925
231928,-1.07077,0.8945200000000001
238033,-0.9323799999999999,-1.33733
239944,-0.13738,-0.8993
245333,0.79084,0.31109000000000003
249947,0.18391,0.57813
257542,1.22092,-1.46108
263436,-0.3546,-1.99237
268749,0.5613100000000001,0.7495
270332,1.49078,1.35576
274542,-1.8701900000000002,0.04565
275645,0.63952,-0.25251
280739,-1.42913,-0.59308
280941,0.6963600000000001,0.95265
281135,-0.81492,-0.40618000000000004
285345,-0.81598,-1.47708
285446,0.5676100000000001,1.54708
286347,1.37859,-2.30192
286650,-0.8260799999999999,1.52341
287248,-3.7804800000000003,-1.03411
289555,-2.2878,0.24447
298051,0.17764000000000002,0.6827
299154,1.60039,-0.7035600000000001
300719,0.9688899999999999,1.0127700000000002
303119,-0.09932,1.05962
303624,0.84414,-0.33694
304020,-1.0769600000000001,0.28817
308331,-1.31005,-1.69888
309636,0.7964100000000001,1.3804299999999998
310621,-0.39359,0.26125
316633,0.61322,0.4807
318637,0.6222,-0.68403
329844,-0.1342,1.51377
330324,0.46446000000000004,0.47608999999999996
341834,1.11389,1.56771
348545,-0.73625,1.10781
349244,1.04187,0.89431
361234,-0.9100299999999999,-0.79122
366042,0.38711999999999996,0.8048
368551,0.3428,0.8330700000000001
368753,0.13184,1.68829
376247,1.00376,0.26026
378756,1.18242,0.13848
379657,-0.77049,-0.54869
380036,1.29409,0.6926
391748,0.9974299999999999,2.16718
394956,-0.09422,0.11265
395251,1.06948,-0.06054
395756,-0.36444,-0.08465
397154,1.15923,-0.22741
397861,0.14653,0.26275
401422,-0.32379,2.03837
412528,-1.22187,0.7923100000000001
414229,1.4859200000000001,1.2041899999999999
421226,1.6718099999999998,1.1119
422632,-1.48403,-0.13928
424939,0.58799,0.78633
436239,0.17912999999999998,-0.92768
448347,1.11329,1.4007399999999999
449753,0.57691,0.34349
459453,-1.39115,0.56411
461743,-0.8757299999999999,-1.1325399999999999
463040,0.74173,-1.26158
467351,0.29943000000000003,0.7027399999999999
475855,-0.44893,-0.67257
486759,1.04856,0.53818
497865,-1.93523,-0.10686
510225,0.35011,0.36805
510326,-0.27213000000000004,0.32064000000000004
513736,1.3145799999999999,1.32742
516742,0.50003,-0.8354600000000001
518746,-0.8541799999999999,-0.5896100000000001
529953,0.55486,-0.58187
548250,1.2580200000000001,1.50641
552241,-0.57065,-1.7972400000000002
553344,-0.17185999999999998,-1.7287099999999997
555348,-2.05261,-1.9678099999999998
555651,-0.9788399999999999,0.47285
555954,-1.14273,0.8367399999999999
558657,0.24386999999999998,-0.97057
561242,0.72029,0.56557
561444,0.73693,1.22737
561949,1.1726299999999998,1.6391200000000001
567759,1.1461,1.77893
571144,1.0215,2.01525
572045,-1.50547,-0.14533
573451,1.7974400000000001,1.29368
579665,-3.0762400000000003,-0.45085
580751,1.58865,1.42615
581349,-0.5652699999999999,0.59509
583858,-0.41428000000000004,-0.10486
585256,-2.0308900000000003,-1.48458
585862,-1.1678899999999999,0.24839
590047,1.0133,-0.0511
598568,0.0084,1.30485
599671,-0.00421,0.58021
615744,-0.54382,1.18769
618952,0.53994,-2.13061
622236,-0.34302,0.19150999999999999
623844,0.45593999999999996,1.1795799999999999
627549,-1.37319,0.32921
654350,0.13445,0.48317
654754,-0.7289399999999999,0.95404
656253,1.07321,-0.12847999999999998
663755,1.13024,0.49549
672756,-0.46871,1.18336
679568,0.8044399999999999,1.52146
680250,0.41191000000000005,-0.0267
680452,-1.8567,-1.11224
692964,-0.13276,-0.04565
694362,-0.7066600000000001,-0.9413600000000001
695768,-0.28203,-1.01609
715041,-1.13226,-0.52496
727553,0.77849,0.28204
744553,-0.08047,-0.8610700000000001
749361,-2.0540000000000003,-0.04877
753150,1.21547,0.54469
756055,-0.43265,-1.80309
757764,1.21025,-1.39582
783462,0.65293,0.39295
789373,0.83857,1.7246
812746,-1.31651,-0.50678
820745,-0.5985,-0.79693
825553,0.47012,-0.05662999999999999
827052,0.24323000000000003,1.32356
828862,-0.29893000000000003,-0.46773000000000003
835657,-0.9400299999999999,-0.6996
837560,-1.5470700000000002,0.34652
841349,0.86393,-1.03815
849264,-0.86254,-1.2826
849971,1.1423299999999998,-0.93429
861456,-1.18286,0.27321
869472,0.03568,0.37562
872158,0.6522899999999999,1.04766
872764,0.8762700000000001,-0.01697
873968,1.2793700000000001,0.78183
878877,0.21974000000000002,-0.40351
884064,0.19487000000000002,-0.39971999999999996
886674,1.69688,0.41017
887373,-0.2634,1.4288
888678,1.1399,0.27797
894067,-0.76828,1.71538
901139,0.45719,0.6839
901442,-0.0008,0.22032
902242,0.83385,0.29695
904044,-1.19241,0.035910000000000004
907656,-0.73354,1.16224
908860,1.5901100000000001,0.06767000000000001
919966,-1.52915,0.051820000000000005
937160,-0.32026,1.24576
943862,0.26222,1.40952
955465,-0.62512,0.8657600000000001
958976,-1.25068,-0.9592
962058,-0.95844,0.29309
966975,-0.31034,-0.16676
970764,0.61898,0.46717
987983,0.40021999999999996,0.021509999999999998
989987,-0.30689,0.21363000000000001
